"","runtype","subject","roi","accuracy","kappa","alpha","lambda","percent.features"
"65","Questions","tb9585","L FFA",0.71,0.416895790682747,1,0.00924864862079495,10.062893081761
"66","Questions","tb9585","L vATL",0.611666666666667,0.221273250903686,1,0.0220454590253574,12
"67","Questions","tb9585","R OFA",0.50422619047619,0.0100294426990079,1,0.0212006767468933,8.96057347670251
"68","Questions","tb9585","R FFA",0.573333333333333,0.148925028433724,0.5,0.0931135628520608,5.5363321799308
"69","Questions","tb9585","R vATL",0.552023809523809,0.117034881704447,0.1,0.971883008486063,7.14285714285714
"70","Questions","tb9586","L OFA",0.621011904761905,0.237473848856458,1,0.0251302574762167,8.69565217391304
"71","Questions","tb9586","L FFA",0.789761904761905,0.576063105976149,1,0.123104131675384,1.13636363636364
"72","Questions","tb9586","L vATL",0.677142857142857,0.360526978818283,0.1,1.48075589533,2.01612903225806
"73","Questions","tb9586","R OFA",0.588988095238095,0.18191259754738,0.3,0.28986927315699,1.23076923076923
"74","Questions","tb9586","R FFA",0.583392857142857,0.171313884666059,1,0.0140728838172335,16.7441860465116
"75","Questions","tb9586","R vATL",0.467142857142857,0,0.1,113.733475228622,0
"76","Questions","tb9621","L OFA",0.627261904761905,0.253651498260194,0.1,0.0509608130946628,58.3710407239819
"77","Questions","tb9621","L FFA",0.864345238095238,0.727395986622073,0.9,0.0229215295470783,7.64525993883792
"78","Questions","tb9621","L vATL",0.602857142857143,0.21385512989426,0.1,0.0228026193105351,77.7777777777778
"79","Questions","tb9621","R OFA",0.586547619047619,0.171443604382735,0.3,0.00375334391348784,58.8495575221239
"80","Questions","tb9621","R FFA",0.622916666666667,0.254410858867381,1,0.120488293038147,0.746268656716418
"81","Questions","tb9621","R vATL",0.636190476190476,0.274465546209024,0.1,0.668618686121105,13.3333333333333
"82","Questions","tb9645","L OFA",0.624285714285714,0.246398331137462,0.3,0.00271793376122145,52.7777777777778
"83","Questions","tb9645","L FFA",0.866011904761905,0.729538336542684,0.9,0.0209996985563685,7.2463768115942
"84","Questions","tb9645","L vATL",0.702916666666667,0.409232647545691,1,0.0159152871083664,11.4832535885167
"85","Questions","tb9645","R OFA",0.537797619047619,0.0700519802258932,0.3,0.0701473847572489,12.1212121212121
"86","Questions","tb9645","R FFA",0.683154761904762,0.362581616612051,0.1,0.0435713753849762,58.477508650519
"87","Questions","tb9645","R vATL",0.666071428571429,0.331915465693727,1,0.0413573366467464,7.34463276836158
"88","Questions","tb9699","L OFA",0.698214285714286,0.393150045606567,0.3,0.0136144387259148,41.9087136929461
"89","Questions","tb9699","L FFA",0.750238095238095,0.501765728635294,1,0.159554402172397,0.632911392405063
"90","Questions","tb9699","L vATL",0.722083333333333,0.442074139387183,0,1.39108300675127,100
"91","Questions","tb9699","R OFA",0.675654761904762,0.34944905127079,0.1,0.136973962786076,41.6107382550336
"92","Questions","tb9699","R FFA",0.672857142857143,0.3500938391721,0.9,0.0468450455865801,5.98006644518272
"93","Questions","tb9699","R vATL",0.652202380952381,0.30792887740279,0,8.8910891128521,100
"94","Questions","tb9737","L OFA",0.632619047619048,0.264502496537279,1,0.0297543195259183,6.81818181818182
"95","Questions","tb9737","L FFA",0.754285714285714,0.507534992061079,0.1,0.0185555547050546,65.3429602888087
"96","Questions","tb9737","L vATL",0.578035714285714,0.17644256162517,0,41.2074670926387,100
"97","Questions","tb9737","R OFA",0.525178571428571,0.0501934472934473,1,0.0014772765715573,15.929203539823
"98","Questions","tb9737","R FFA",0.565238095238095,0.133852247108769,1,0.0296519064498777,8
"99","Questions","tb9737","R vATL",0.665416666666667,0.338006280193237,0.7,0.221714274892008,0.404858299595142
"100","NoQuestions","tb9226","L OFA",0.600297619047619,0.193555504881592,0.1,0.0136618705658008,72.6923076923077
"101","NoQuestions","tb9226","L FFA",0.50672619047619,0.0151211400515748,0.1,0.536823262303085,10.3678929765886
"102","NoQuestions","tb9226","L vATL",0.530773809523809,0.0644314156053286,0.9,0.0556133495650036,11.3861386138614
"103","NoQuestions","tb9226","R OFA",0.563928571428571,0.129885624359537,0.5,0.00257071381796108,49.009900990099
"104","NoQuestions","tb9226","R FFA",0.61702380952381,0.233327289618594,1,0.0395750261513959,7.72532188841202
"105","NoQuestions","tb9226","R vATL",0.656785714285714,0.314769605756562,0,1.89619353623084,100
"106","NoQuestions","tb9226","R vATL",0.656785714285714,0.314769605756562,0,1.89619353623084,100
"107","NoQuestions","tb9253","L OFA",0.583095238095238,0.162249150366542,0,9.02121609945099,100
"108","NoQuestions","tb9253","L FFA",0.647202380952381,0.294485865342387,0.7,0.224488050232598,1.50753768844221
"109","NoQuestions","tb9253","L vATL",0.668035714285714,0.342768916590656,0,2.1625463524394,100
"110","NoQuestions","tb9253","L vATL",0.668035714285714,0.342768916590656,0,2.1625463524394,100
"111","NoQuestions","tb9253","R OFA",0.551904761904762,0.119993450671712,0.1,1.07319412725148,7.2
"112","NoQuestions","tb9253","R FFA",0.541309523809524,0.0887529824442868,0,38.030441052778,100
"113","NoQuestions","tb9253","R vATL",0.543095238095238,0.10010087497044,0,35.52573982201,100
"114","NoQuestions","tb9276","L OFA",0.498630952380952,0.000549080549080516,0.1,0.12388837985524,39.3548387096774
"115","NoQuestions","tb9276","L FFA",0.550833333333333,0.108104190173755,0,6.97053772226556,100
"116","NoQuestions","tb9276","L vATL",0.623333333333333,0.250758320101798,0.3,0.377627869002874,1.83823529411765
"117","NoQuestions","tb9276","R OFA",0.472261904761905,-0.0389449939754288,0,22.5351455312927,100
"118","NoQuestions","tb9276","R FFA",0.464285714285714,0,0.1,139.799484879527,0
"119","NoQuestions","tb9276","R vATL",0.559464285714286,0.124345707915273,0.3,0.00691293535495654,47.9310344827586
"120","NoQuestions","tb9325","L OFA",0.54827380952381,0.10143326464196,1,0.0876626042541872,0.896860986547085
"121","NoQuestions","tb9325","L FFA",0.660714285714286,0.324334343434343,1,0.138256705479927,0.420168067226891
"122","NoQuestions","tb9325","L vATL",0.590535714285714,0.178958137675529,1,0.135331253701157,1.68776371308017
"123","NoQuestions","tb9325","R OFA",0.514285714285714,0,0.1,125.138065358401,0
"124","NoQuestions","tb9325","R FFA",0.535654761904762,0.0742813497291758,0,33.5020979846332,100
"125","NoQuestions","tb9325","R vATL",0.514285714285714,0,0.1,167.543840646267,0
"126","NoQuestions","tb9360","L OFA",0.661964285714286,0.325248647005169,0,1.63770108481418,100
"127","NoQuestions","tb9360","L OFA",0.661964285714286,0.325248647005169,0,1.63770108481418,100
"128","NoQuestions","tb9360","L FFA",0.528869047619048,0.0685086494825625,0,34.0040347939433,100
"129","NoQuestions","tb9360","L vATL",0.657380952380952,0.314802753285362,1,0.0236640802764719,11.5702479338843
"130","NoQuestions","tb9360","R OFA",0.6,0.201877220364177,0.7,0.00869585590187167,21.1009174311927
"131","NoQuestions","tb9360","R FFA",0.631071428571429,0.262690101685754,0.5,0.20144172876654,1.96629213483146
"132","NoQuestions","tb9360","R vATL",0.632797619047619,0.262620313502922,0.1,0.363329917718683,19.7568389057751
"133","NoQuestions","tb9399","L OFA",0.547202380952381,0.0876234383973514,0.3,0.0532357091720124,22.2222222222222
"134","NoQuestions","tb9399","L FFA",0.534761904761905,0.0667289337071946,0.9,0.00228019506518865,21.4814814814815
"135","NoQuestions","tb9399","L vATL",0.508630952380952,0.0190256928256928,0.7,0.00129688758074305,32.9268292682927
"136","NoQuestions","tb9399","R OFA",0.464285714285714,0,0.1,108.950770613286,0
"137","NoQuestions","tb9399","R FFA",0.547797619047619,0.0976833057441753,1,0.0140585749376629,11.98738170347
"138","NoQuestions","tb9399","R vATL",0.555535714285714,0.130557017217887,0.7,0.206526864097054,0.363636363636364
"139","NoQuestions","tb9430","L OFA",0.539880952380952,0.0921343028951724,0.7,0.163579693324052,0.847457627118644
"140","NoQuestions","tb9430","L FFA",0.731011904761905,0.454990332533811,1,0.0420198712806598,5.08021390374332
"141","NoQuestions","tb9430","L vATL",0.595119047619048,0.194544184318097,1,0.00297027301540311,17.3160173160173
"142","NoQuestions","tb9430","R OFA",0.637142857142857,0.271933013524318,0.3,0.00845921015885681,43.956043956044
"143","NoQuestions","tb9430","R FFA",0.615654761904762,0.230389081449951,0,1.5434630759783,100
"144","NoQuestions","tb9430","R FFA",0.615654761904762,0.230389081449951,0,1.5434630759783,100
"145","NoQuestions","tb9430","R vATL",0.641130952380952,0.289507463711812,0.7,0.263054960189602,0.387596899224806
"146","NoQuestions","tb9488","L OFA",0.60125,0.212716502820851,1,0.0956127852302728,0.711743772241993
"147","NoQuestions","tb9488","L FFA",0.561607142857143,0.126110209114557,0,1.69907493876141,100
"148","NoQuestions","tb9488","L vATL",0.585119047619048,0.176924905690123,0.7,0.257876058552097,0.740740740740741
"149","NoQuestions","tb9488","R OFA",0.595357142857143,0.194976711372364,0,35.1881314101451,100
"150","NoQuestions","tb9488","R FFA",0.584464285714286,0.168916114320462,0,6.8793347834282,100
"151","NoQuestions","tb9488","R vATL",0.676845238095238,0.354318756123104,0.7,0.074243907848277,7.28476821192053
"152","NoQuestions","tb9516","L OFA",0.572083333333333,0.148318803418803,0.3,0.146986520249991,5.78947368421053
"153","NoQuestions","tb9516","L FFA",0.565714285714286,0.130417331621679,0.5,0.084636177048721,10.4026845637584
"154","NoQuestions","tb9516","L vATL",0.553988095238095,0.105780979246197,1,0.0534887587750162,7.32984293193717
"155","NoQuestions","tb9516","R OFA",0.580297619047619,0.156859501368197,1,0.00486934122057603,16.9014084507042
"156","NoQuestions","tb9516","R FFA",0.4875,-0.013967311915138,0.5,0.14410116187572,3.26530612244898
"157","NoQuestions","tb9516","R vATL",0.49125,-0.00713699199351376,0.3,0.322710312969477,3.71747211895911
"158","NoQuestions","tb9555","L OFA",0.609880952380952,0.221545157258201,0,7.24302903553378,100
"159","NoQuestions","tb9555","L FFA",0.854523809523809,0.706857400087835,1,0.00524984893435124,7.0048309178744
"160","NoQuestions","tb9555","L vATL",0.703630952380952,0.408489787507179,0.3,0.292786192923641,6.88259109311741
"161","NoQuestions","tb9555","R OFA",0.541964285714286,0.0869383782079434,0.1,0.00848250517021434,71.0462287104623
"162","NoQuestions","tb9555","R FFA",0.59797619047619,0.195493544137022,0.9,0.00145485136252201,19.9324324324324
"163","NoQuestions","tb9555","R vATL",0.481369047619048,-0.0310072013332883,0,0.798681718445012,100
"164","NoQuestions","tb9585","L OFA",0.709285714285714,0.419623410245149,0.3,0.00334358353574125,51.8151815181518
"165","NoQuestions","tb9585","L FFA",0.556785714285714,0.107631915588437,0.9,0.021436848393384,10.5431309904153
"166","NoQuestions","tb9585","L vATL",0.700535714285714,0.404922213213518,0.3,0.0385010043162758,33.0396475770925
"167","NoQuestions","tb9585","R OFA",0.570297619047619,0.140308982804635,0.5,0.148625709377188,1.72413793103448
"168","NoQuestions","tb9585","R FFA",0.584226190476191,0.16508500613718,0.1,0.0114767217524749,71.326164874552
"169","NoQuestions","tb9585","R vATL",0.554464285714286,0.108327878562661,0.5,0.0109095400879652,38.0281690140845
"170","NoQuestions","tb9586","L OFA",0.629583333333333,0.254515823789737,1,0.0252261382538894,6.14035087719298
"171","NoQuestions","tb9586","L FFA",0.709047619047619,0.421252363095841,0.1,0.0115102714091503,63.4285714285714
"172","NoQuestions","tb9586","L vATL",0.584583333333333,0.168531965136313,0,1.41421855239673,100
"173","NoQuestions","tb9586","L vATL",0.584583333333333,0.168531965136313,0,1.41421855239673,100
"174","NoQuestions","tb9586","R OFA",0.518809523809524,0.0406382160512595,0.1,0.022718219676489,66.3742690058479
"175","NoQuestions","tb9586","R FFA",0.53327380952381,0.0647195533934664,0.1,0.0173184065290192,76.5853658536585
"176","NoQuestions","tb9586","R vATL",0.546785714285714,0.0922019796628492,0.1,0.0106618538306206,66.4473684210526
"177","NoQuestions","tb9621","L OFA",0.650595238095238,0.301170761122935,0.1,0.432819822434759,21.8181818181818
"178","NoQuestions","tb9621","L FFA",0.651011904761905,0.299642569507787,0,1.43526107716532,100
"179","NoQuestions","tb9621","L FFA",0.651011904761905,0.299642569507787,0,1.43526107716532,100
"180","NoQuestions","tb9621","L vATL",0.50547619047619,0.0132725043072869,1,0.00172542167050241,28.2352941176471
"181","NoQuestions","tb9621","R OFA",0.498869047619048,-0.00186303728477645,1,0.00801887853231484,16.1290322580645
"182","NoQuestions","tb9621","R FFA",0.633214285714286,0.266457305496436,1,0.109984803401282,1.50375939849624
"183","NoQuestions","tb9621","R vATL",0.56327380952381,0.128233104737453,0.1,0.0131545516975859,72.7272727272727
"184","NoQuestions","tb9645","L OFA",0.624404761904762,0.254668322016148,1,0.094189168310515,0.380228136882129
"185","NoQuestions","tb9645","L FFA",0.523928571428571,0.0507521435086652,0.9,0.00821126972288322,15.015015015015
"186","NoQuestions","tb9645","L vATL",0.597380952380952,0.195309325135412,0.9,0.00451634377489686,22.2222222222222
"187","NoQuestions","tb9645","R OFA",0.462857142857143,0,0.1,82.9073602908514,0
"188","NoQuestions","tb9645","R FFA",0.607797619047619,0.221268396337962,1,0.0841237493866588,0.701754385964912
"189","NoQuestions","tb9645","R vATL",0.587083333333333,0.182185919394615,0.7,0.175994311966104,1.77514792899408
"190","NoQuestions","tb9699","L OFA",0.613392857142857,0.234916919473441,0.3,0.308355242999067,0.869565217391304
"191","NoQuestions","tb9699","L FFA",0.634940476190476,0.265931857031857,1,0.121623176098935,1.51057401812689
"192","NoQuestions","tb9699","L vATL",0.534583333333333,0.0682729783903697,0,6.53431575220773,100
"193","NoQuestions","tb9699","R OFA",0.59577380952381,0.18894866389649,0.3,0.00927370197115757,42.7083333333333
"194","NoQuestions","tb9699","R FFA",0.534702380952381,0.0696652331565375,0.5,0.0507051606972945,14.6341463414634
"195","NoQuestions","tb9699","R vATL",0.581309523809524,0.171489248110987,0.1,1.03664406145384,4.54545454545455
"196","NoQuestions","tb9737","L OFA",0.562380952380952,0.12657778791257,0.3,0.31916949304505,2.94117647058824
"197","NoQuestions","tb9737","L FFA",0.612142857142857,0.222169275812754,0.1,0.397870430223096,24.3727598566308
"198","NoQuestions","tb9737","L vATL",0.596964285714286,0.194978284517415,0.7,0.187407029802726,0.938967136150235
"199","NoQuestions","tb9737","R OFA",0.646607142857143,0.287738620316881,0.9,0.0643908260816815,2.21606648199446
"200","NoQuestions","tb9737","R FFA",0.611964285714286,0.223174956927131,0.1,0.0134179978530835,73.3870967741936
"201","NoQuestions","tb9737","R vATL",0.626904761904762,0.253667930137495,1,0.0145105840122794,14.7410358565737
